block_id,trial_index,hazard_rate,noise_sigma,LLR,choice,correct_side,reaction_time_ms,belief_L,subjective_h_snapshot
4,28,0.5,0.2400,1.577378,1,1,563,4.148746,0.0310
4,29,0.5,0.2400,7.851968,1,1,414,10.236855,0.0310
4,30,0.5,0.2400,-6.730367,0,0,464,-4.159404,0.0510
4,31,0.5,0.2400,9.568418,1,1,361,7.181727,0.0610
4,32,0.5,0.2400,13.363978,1,1,380,15.925566,0.0610
4,33,0.5,0.2400,4.382512,1,1,428,6.953939,0.0510
4,34,0.5,0.2400,12.244304,1,1,397,14.803390,0.0510
4,35,0.5,0.2400,9.996452,1,1,319,12.567876,0.0510
4,36,0.5,0.2400,-11.226847,0,0,358,-8.655464,0.0510
4,37,0.5,0.2400,15.625000,1,1,348,13.055834,0.0510
4,38,0.5,0.2400,-7.479292,0,0,368,-4.907890,0.0610
4,39,0.5,0.2400,7.144472,1,1,315,4.664756,0.0710
4,40,0.5,0.2400,6.239756,1,1,441,8.695655,0.0710
