row_id,participant_id,block_id,trial_index,winner_model_name,choice,correct_side,is_choice_correct,reaction_time_ms,H,prev_observed_belief_L,psi_t,abs_prev_belief_L,abs_psi_t,psi_shrinkage_abs,is_change_point
112,P01,3,33,cont_asymptote,-1,0,0,790,0.121,0.054897,0.04160748019977589,0.054897,0.04160748019977589,0.013289519800224109,0
113,P01,3,34,cont_asymptote,-1,0,0,837,0.121,-5.31125,-1.9484458121475332,5.31125,1.9484458121475332,3.362804187852467,0
114,P01,3,35,cont_asymptote,-1,1,0,787,0.121,-4.113967,-1.8730547679954817,4.113967,1.8730547679954817,2.240912232004518,1
115,P01,3,36,cont_asymptote,-1,0,0,732,0.121,-2.250246,-1.4289726248975343,2.250246,1.4289726248975343,0.8212733751024659,1
116,P01,3,37,cont_asymptote,-1,1,0,684,0.111,-6.835692,-2.072130578569265,6.835692,2.072130578569265,4.763561421430735,1
117,P01,3,38,cont_asymptote,-1,0,0,700,0.111,-2.326643,-1.5150231335091506,2.326643,1.5150231335091506,0.8116198664908492,1
118,P01,3,39,cont_asymptote,-1,0,0,701,0.111,-4.412986,-1.9894445626426345,4.412986,1.9894445626426345,2.4235414373573656,0
119,P01,3,40,cont_asymptote,-1,0,0,587,0.111,-7.343401,-2.0754805667515557,7.343401,2.0754805667515557,5.267920433248444,0
150,P01,4,31,cont_asymptote,1,1,1,1271,0.311,-2.355648,-0.6466645762914097,2.355648,0.6466645762914097,1.7089834237085904,1
151,P01,4,32,cont_asymptote,-1,0,0,954,0.301,0.229502,0.09100573073004603,0.229502,0.09100573073004603,0.13849626926995398,1
152,P01,4,33,cont_asymptote,1,1,1,999,0.331,-2.306741,-0.5683771239149426,2.306741,0.5683771239149426,1.7383638760850575,1
153,P01,4,34,cont_asymptote,1,1,1,714,0.331,1.041725,0.3262380486530778,1.041725,0.3262380486530778,0.7154869513469222,0
154,P01,4,35,cont_asymptote,1,1,1,578,0.331,5.484904,0.6973656968463109,5.484904,0.6973656968463109,4.787538303153689,0
155,P01,4,36,cont_asymptote,-1,1,0,1046,0.371,4.341982,0.5137551180757471,4.341982,0.5137551180757471,3.8282268819242526,0
156,P01,4,37,cont_asymptote,-1,0,0,954,0.371,-0.396738,-0.10112267920133211,0.396738,0.10112267920133211,0.29561532079866787,1
157,P01,4,38,cont_asymptote,-1,0,0,685,0.371,-3.332034,-0.4899811150259338,3.332034,0.4899811150259338,2.8420528849740663,0
158,P01,4,39,cont_asymptote,-1,0,0,595,0.351,-4.798994,-0.6039746909488577,4.798994,0.6039746909488577,4.195019309051142,0
159,P01,4,40,cont_asymptote,-1,0,0,638,0.351,-1.454456,-0.37465626121558604,1.454456,0.37465626121558604,1.079799738784414,0
177,P02,1,31,cont_asymptote,1,1,1,363,0.091,-13.236088,-2.3014679360582013,13.236088,2.3014679360582013,10.9346200639418,1
178,P02,1,32,cont_asymptote,-1,1,0,368,0.521,12.849041,-0.08404900195041165,12.849041,0.08404900195041165,12.764991998049588,0
179,P02,1,33,cont_asymptote,1,1,1,392,0.521,1.77542,-0.05967961523973697,1.77542,0.05967961523973697,1.715740384760263,0
180,P02,1,34,cont_asymptote,1,1,1,404,0.521,15.148829,-0.08404939997922867,15.148829,0.08404939997922867,15.06477960002077,0
181,P02,1,35,cont_asymptote,-1,0,0,391,0.521,11.222455,-0.08404719414853368,11.222455,0.08404719414853368,11.138407805851466,1
182,P02,1,36,cont_asymptote,-1,0,0,379,0.521,-12.0433,0.08404845411547077,12.0433,0.08404845411547077,11.959251545884529,0
183,P02,1,37,cont_asymptote,1,1,1,412,0.521,-11.973034,0.0840483820338335,11.973034,0.0840483820338335,11.888985617966167,1
