row_id,participant_id,block_id,trial_index,split,winner_model_name,choice,correct_side,predicted_decision,predicted_choice_binary,predicted_timeout,choice_match_excluding_timeout,reaction_time_ms,predicted_rt_ms,belief_L,predicted_belief,H,LLR
70,P01,2,31,TEST,cont_asymptote,1,1,1,1.0,0,1.0,625.0,1734.9999999999197,7.056866,5.152728211028861,0.021,3.649547
71,P01,2,32,TEST,cont_asymptote,1,1,1,1.0,0,1.0,1314.0,2808.9999999998017,5.356414,4.521869395293045,0.021,1.940681
72,P01,2,33,TEST,cont_asymptote,1,1,1,1.0,0,1.0,744.0,1318.9999999999654,8.529467,5.511115280854653,0.021,5.224597
73,P01,2,34,TEST,cont_asymptote,1,1,1,1.0,0,1.0,1733.0,656.0000000000005,3.744987,3.501829896234719,0.021,0.308859
74,P01,2,35,TEST,cont_asymptote,1,1,1,1.0,0,1.0,685.0,1635.9999999999307,7.397815,5.363748583824051,0.021,4.507985
75,P01,2,36,TEST,cont_asymptote,1,1,1,1.0,0,1.0,593.0,1359.9999999999611,8.284523,5.439093865093419,0.021,4.861194
77,P01,2,38,TEST,cont_asymptote,-1,1,0,,1,,713.0,5000.000000000005,-0.943035,-3.2250505818427437,0.041,-1.137463
78,P01,2,39,TEST,cont_asymptote,1,1,0,,1,,747.0,5000.000000000005,-0.398495,1.3891694145562739,0.031,0.477975
79,P01,2,40,TEST,cont_asymptote,1,1,1,1.0,0,1.0,519.0,3331.999999999744,2.726036,4.6004235800858275,0.031,3.099226
80,P01,3,1,TRAIN,cont_asymptote,1,0,0,,1,,698.0,5000.000000000005,1.187286,5.661066407737807,0.001,1.187286
81,P01,3,2,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,998.0,1057.9999999999943,-4.47239,-1.717786550024558,0.991,-5.353956
82,P01,3,3,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,805.0,1470.9999999999488,-7.348429,-2.619559906963238,0.391,-5.353956
